pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_1_sents,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents
1/6/2018,https://www.fool.com/investing/2018/01/06/the-2017-industry-focus-awards-best-quote-and-happ.aspx,-0.770013124,-0.974636813,0.805000166,3,0.661306675,0.661306675,1.502490338,0.251203485,,,,,,,,,,,,,,,,1.502490338,0.251203485,,,,,,,,,,,,,,,
2/3/2019,https://www.fool.com/investing/2019/02/03/stock-market-power-rankings-apple-jacks.aspx,-0.287698671,-0.988152683,0.291147994,1,0.291147994,0.291147994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2021,http://www.zacks.com/stock/news/1441076/general-electric-ge-to-post-q1-earnings-beat-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1441076,-0.193761467,-0.998010695,0.194147686,1,0.194147686,0.194147686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2021,https://www.fool.com/investing/2021/04/24/general-electric-earnings-preview-5-things-to-watc/?source=iedfolrf0000001,-0.547186039,-0.358551996,0.779571774,7,1.209275779,1.209275779,1.523410793,0.249639322,1.710881272,0.255800002,0.282684789,0.225310459,,,,,,,,,,,,1.523410793,0.249639322,1.710881272,0.255800002,0.282684789,0.225310459,,,,,,,,,,,
4/26/2021,https://www.fool.com/investing/2021/04/26/burned-by-the-stock-market-consider-these-3-etfs/?source=iedfolrf0000001,2.357669022,0.980282307,2.405091886,1,2.405091886,2.405091886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2021,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3BF40341C5D%7D&siteid=rss&rss=1,-0.796529274,-0.999257147,0.797045933,3,0.884929959,0.884929959,1.222549404,0.283658435,,,,,,,,,,,,,,,,1.222549404,0.283658435,,,,,,,,,,,,,,,
4/26/2021,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3BF142D0048%7D&siteid=rss&rss=1,-0.485580432,-0.982129395,0.494415944,1,0.494415944,0.494415944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/news/earnings/21/04/20814977/tech-time-microsoft-advanced-micro-devices-alphabet-reporting-after-close-today,-0.206366947,-0.996338725,0.20712529,1,0.20712529,0.20712529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,http://www.zacks.com/stock/news/1461921/earnings-season-in-full-swing?cid=CS-ZC-FT-economic_highlights-1461921,-0.196804959,-0.983567119,0.200093065,1,0.200093065,0.200093065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,http://www.zacks.com/stock/news/1461833/markets-ge-q1-mixed-ups-beats-big?cid=CS-ZC-FT-ahead_of_wall_street-1461833,-0.203187782,-0.977876246,0.207780197,2,0.207564753,0.207564753,0.207995641,,,,,,,,,,,,,,,,,0.207995641,,,,,,,,,,,,,,,,
4/27/2021,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3C3E2DBABEC%7D&siteid=rss&rss=1,-0.246850694,-0.982301831,0.251298212,1,0.251298212,0.251298212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.investing.com/analysis/fed-big-tech-vie-for-attention-ahead-of-microsoft-alphabet-results-200575635,-0.207281224,-0.995925426,0.208129262,1,0.208129262,0.208129262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/news/earnings/21/04/20807204/a-peek-into-the-markets-us-stock-futures-edge-lower-ahead-of-earnings-fed-meeting,-1.467252909,-0.997443676,1.471013295,1,1.471013295,1.471013295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,http://www.zacks.com/stock/news/1462458/general-electric-ge-q1-earnings-top-estimates-revenues-lag?cid=CS-ZC-FT-analyst_blog|earnings_article-1462458,-0.104113805,-0.3344691,0.237634921,3,0.266534995,0.266534995,0.245859579,0.200510188,,,,,,,,,,,,,,,,0.245859579,0.200510188,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/news/earnings/21/04/20806387/7-stocks-to-watch-for-april-27-2021,-0.251353432,-0.998129189,0.251824548,1,0.251824548,0.251824548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.investing.com/analysis/here-are-a-few-interesting-earningsbased-movers-since-yesterday-200575651,-0.211950486,-0.995089352,0.212996436,1,0.212996436,0.212996436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,http://www.zacks.com/stock/news/1461081/general-electric-ge-q1-earnings-surpass-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1461081,-0.829634535,-0.985937357,0.841485676,2,0.880829604,0.880829604,0.802141748,,,,,,,,,,,,,,,,,0.802141748,,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/news/21/04/20815118/mid-morning-market-update-markets-edge-lower-general-electric-reports-mixed-q1-results,-0.274634938,-0.997819781,0.27523501,1,0.27523501,0.27523501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.fool.com/investing/2021/04/27/why-ge-stock-dropped-today/?source=iedfolrf0000001,-0.151260415,0.229585509,0.466673302,3,0.288337439,0.288337439,0.886373216,0.225309252,,,,,,,,,,,,,,,,0.886373216,0.225309252,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/pre-market-outlook/21/04/20810171/10-industrials-stocks-moving-in-tuesdays-pre-market-session,-0.213701085,-0.996198356,0.214516601,1,0.214516601,0.214516601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/news/earnings/21/04/20818311/mid-day-market-update-crude-oil-rises-1-pq-group-shares-plummet,-0.274634938,-0.997819781,0.27523501,1,0.27523501,0.27523501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/trading-ideas/long-ideas/21/04/20823243/ups-soars-tesla-falls-in-a-mixed-day-of-trading-for-the-market,-0.474920386,-0.999414563,0.475198585,1,0.475198585,0.475198585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,https://www.fool.com/investing/2021/04/27/why-stock-market-investors-should-pay-attention-to/?source=iedfolrf0000001,-0.432152862,-0.988634547,0.440761183,3,0.252468086,0.252468086,0.280310298,0.789505166,,,,,,,,,,,,,,,,0.280310298,0.789505166,,,,,,,,,,,,,,,
4/27/2021,https://www.benzinga.com/news/earnings/21/04/20821057/mid-afternoon-market-update-trueblue-rises-following-q1-earnings-realnetworks-shares-slide,-0.274634938,-0.997819781,0.27523501,1,0.27523501,0.27523501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2021,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3C269D458EB%7D&siteid=rss&rss=1,-0.187333764,-0.842119992,0.222454955,1,0.222454955,0.222454955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2021,https://www.fool.com/earnings/call-transcripts/2021/04/27/general-electric-ge-q1-2021-earnings-call-transcri/?source=iedfolrf0000001,-0.122529063,0.259374678,0.82195436,18,0.201453312,0.201453312,1.391760479,0.277530942,0.20226664,0.20226664,0.201859157,0.201588412,0.796536611,1.972875391,2.350789518,2.358663789,1.387096841,0.202539211,0.266223532,1.125787917,0.203086563,1.227542427,0.225311089,1.391760479,0.277530942,0.20226664,0.20226664,0.201859157,0.201588412,0.796536611,1.972875391,2.350789518,2.358663789,1.387096841,0.202539211,0.266223532,1.125787917,0.203086563,1.227542427,0.225311089
4/28/2021,https://www.fool.com/investing/2021/04/27/general-electric-slides-on-q1-revenue-miss/?source=iedfolrf0000001,-0.392439599,-0.99731797,0.393257184,2,0.506662366,0.506662366,0.279852001,,,,,,,,,,,,,,,,,0.279852001,,,,,,,,,,,,,,,,
4/29/2021,https://www.benzinga.com/markets/cryptocurrency/21/04/20878618/20-picks-from-the-2021-cnbc-stock-draft-bitcoin-amazon-ark-lead-the-way,-0.194553728,-0.958075881,0.203067139,1,0.203067139,0.203067139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2021,https://www.fool.com/investing/2021/04/29/ge-earnings-no-cause-for-disappointment/?source=iedfolrf0000001,0.014899979,0.098417327,0.273110681,4,0.290541587,0.290541587,0.281230715,0.295359538,0.225310883,,,,,,,,,,,,,,,0.281230715,0.295359538,0.225310883,,,,,,,,,,,,,,
4/30/2021,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D78D72A83A%7D&siteid=rss&rss=1,-0.260623062,-0.999389648,0.26078223,1,0.26078223,0.26078223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2021,https://www.fool.com/investing/2021/05/01/heres-what-ges-latest-earnings-really-mean-to-inve/?source=iedfolrf0000001,0.176610377,-0.040710364,0.434157021,7,0.282353326,0.282353326,0.221003849,0.288284135,0.215305182,0.273241098,1.533600742,0.225310817,,,,,,,,,,,,0.221003849,0.288284135,0.215305182,0.273241098,1.533600742,0.225310817,,,,,,,,,,,
5/1/2021,https://www.fool.com/investing/2021/05/01/3-companies-that-will-thrive-long-term/?source=iedfolrf0000001,0.203828313,0.993576229,0.205146125,1,0.205146125,0.205146125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2021,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3D9AE7C5692%7D&siteid=rss&rss=1,-0.29780918,-0.998433053,0.298276564,1,0.298276564,0.298276564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,http://www.zacks.com/research-daily/1493474/top-analyst-reports-for-coca-cola-att-royal-dutch-shell?cid=CS-ZC-FT-research_daily-1493474,1.625015236,0.663068712,2.450749383,1,2.450749383,2.450749383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2021,http://www.zacks.com/stock/news/1505232/crane-cr-beats-q1-earnings-and-sales-estimates-ups-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1505232,-0.195139175,-0.968100488,0.201569132,1,0.201569132,0.201569132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2021,https://www.benzinga.com/general/education/21/05/20964728/this-day-in-market-history-panic-of-1893-crashes-stock-market,-0.244052189,-0.99877125,0.244352437,1,0.244352437,0.244352437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2021,http://www.zacks.com/stock/news/1512107/general-electric-ge-flat-as-market-gains-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6-1512107,0.652889553,0.840628892,0.706611799,2,1.134666685,1.134666685,0.278556914,,,,,,,,,,,,,,,,,0.278556914,,,,,,,,,,,,,,,,
5/9/2021,https://www.fool.com/investing/2021/05/09/is-now-the-time-to-invest-in-renewable-energy-stoc/?source=iedfolrf0000001,-0.139643481,-0.001696855,0.601508635,6,1.167450687,1.167450687,0.835576409,0.218910555,0.284086567,0.877717778,0.225309815,,,,,,,,,,,,,0.835576409,0.218910555,0.284086567,0.877717778,0.225309815,,,,,,,,,,,,
5/10/2021,http://www.zacks.com/stock/news/1530517/has-general-electric-ge-outpaced-other-conglomerates-stocks-this-year?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_1-1530517,2.557311091,0.910657287,2.808203622,1,2.808203622,2.808203622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,https://www.fool.com/investing/altenergystocks/2021/05/12/ge-renewable-energy-turbines-to-power-first-major/?source=iedfolrf0000001,0.561545534,0.908488229,0.581829852,4,0.223466367,0.223466367,0.216388235,1.662155957,0.22530885,,,,,,,,,,,,,,,0.216388235,1.662155957,0.22530885,,,,,,,,,,,,,,
5/12/2021,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-740F-87062C3192F0%7D&siteid=rss&rss=1,-0.237312553,-0.965663075,0.245750883,1,0.245750883,0.245750883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2021,http://www.zacks.com/stock/news/1540965/general-electric-ge-signs-offshore-wind-deal-with-toshiba?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1540965,0.677201345,0.018256873,0.876448763,2,1.553583431,1.553583431,0.199314095,,,,,,,,,,,,,,,,,0.199314095,,,,,,,,,,,,,,,,
5/13/2021,https://www.fool.com/investing/2021/05/13/general-electric-raytheon-technologies-and-the-7-b/?source=iedfolrf0000001,-0.376018003,0.126512006,0.819222486,4,0.27143078,0.27143078,2.211582234,0.56856691,0.22531002,,,,,,,,,,,,,,,2.211582234,0.56856691,0.22531002,,,,,,,,,,,,,,
5/15/2021,https://www.fool.com/investing/2021/05/14/general-electric-stock-has-nearly-30-upside-says-a/?source=iedfolrf0000001,-0.257302093,-0.331247211,0.408810479,3,0.508092648,0.508092648,0.49303423,0.225304558,,,,,,,,,,,,,,,,0.49303423,0.225304558,,,,,,,,,,,,,,,
5/16/2021,https://www.investing.com/analysis/can-industrial-etfs-gain-despite-mixed-q1-earnings-200580408,-1.153607347,-0.98513341,1.1666631,3,0.841522678,0.841522678,1.398139988,1.260326633,,,,,,,,,,,,,,,,1.398139988,1.260326633,,,,,,,,,,,,,,,
5/19/2021,http://www.zacks.com/stock/news/1576849/general-electrics-ge-renewable-energy-secures-twin-contracts?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1576849,-0.470634719,-0.349577308,0.662275677,3,0.279529186,0.279529186,0.279204638,1.428093208,,,,,,,,,,,,,,,,0.279204638,1.428093208,,,,,,,,,,,,,,,
5/20/2021,http://www.zacks.com/stock/news/1581556/canadian-solar-csiq-habitat-energy-ink-battery-storage-deal?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1581556,-0.206204691,-0.982668817,0.209674431,2,0.198517194,0.198517194,0.220831667,,,,,,,,,,,,,,,,,0.220831667,,,,,,,,,,,,,,,,
5/20/2021,http://www.zacks.com/stock/news/1581808/general-electric-ge-unit-wins-wind-turbine-supply-contract?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1581808,-1.412911992,-0.989514828,1.427883597,1,1.427883597,1.427883597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2021,https://www.fool.com/investing/2021/05/22/ge-aviation-just-won-a-huge-order/?source=iedfolrf0000001,0.110488357,0.506908342,0.248031175,4,0.279140383,0.279140383,0.202129671,0.285544626,0.22531002,,,,,,,,,,,,,,,0.202129671,0.285544626,0.22531002,,,,,,,,,,,,,,
5/23/2021,https://www.fool.com/investing/2021/05/23/is-ge-stock-undervalued-right-now/?source=iedfolrf0000001,-0.022093513,-0.206757271,0.334475256,5,0.290009117,0.290009117,0.567364815,0.298209899,0.291481182,0.225311264,,,,,,,,,,,,,,0.567364815,0.298209899,0.291481182,0.225311264,,,,,,,,,,,,,
5/24/2021,http://www.zacks.com/stock/news/1598198/iea-urges-to-halt-fossil-fuel-investment-green-stocks-to-gain?cid=CS-ZC-FT-analyst_blog|industry_focus-1598198,-0.405297199,-0.292982062,0.646606339,3,1.510371341,1.510371341,0.208287366,0.221160311,,,,,,,,,,,,,,,,0.208287366,0.221160311,,,,,,,,,,,,,,,
5/25/2021,http://www.zacks.com/stock/news/1604287/general-electric-ge-announces-tender-offers-for-multiple-notes?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1604287,-0.279399303,-0.976222992,0.286204387,1,0.286204387,0.286204387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2021,http://www.zacks.com/stock/news/1602723/the-zacks-analyst-blog-highlights-tesla-solaredge-technologies-first-solar-and-general-electric?cid=CS-ZC-FT-press_releases-1602723,-0.717882689,-0.977829933,0.739261003,3,0.525596018,0.525596018,1.471026679,0.221160311,,,,,,,,,,,,,,,,1.471026679,0.221160311,,,,,,,,,,,,,,,
5/26/2021,https://www.benzinga.com/general/education/21/05/21298474/this-day-in-market-history-charles-dow-launches-dow-jones-industrial-average,-0.198851791,-0.995119691,0.199827008,1,0.199827008,0.199827008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2021,https://www.fool.com/investing/2021/05/26/is-danaher-stock-a-buy/?source=iedfolrf0000001,-1.365514667,-0.985265553,1.385935663,1,1.385935663,1.385935663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2021,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7454-F1F8B1A11D88%7D&siteid=rss&rss=1,-0.21111931,-0.996806264,0.211795729,1,0.211795729,0.211795729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2021,https://www.fool.com/investing/2021/05/26/does-ge-have-too-much-debt-not-for-long/?source=iedfolrf0000001,0.104799687,0.416537002,0.274421666,4,0.296196345,0.296196345,0.2899811,0.286198279,0.225310942,,,,,,,,,,,,,,,0.2899811,0.286198279,0.225310942,,,,,,,,,,,,,,
5/27/2021,https://www.fool.com/investing/2021/05/27/why-general-electric-stock-just-jumped/?source=iedfolrf0000001,-0.09754906,-0.298341672,0.256950013,3,0.261131842,0.261131842,0.284408944,0.225309252,,,,,,,,,,,,,,,,0.284408944,0.225309252,,,,,,,,,,,,,,,
5/27/2021,https://www.fool.com/investing/2021/05/27/general-electric-teams-up-with-big-oil-to-drive-re/?source=iedfolrf0000001,0.255454294,0.994344532,0.256993803,5,0.279141059,0.279141059,0.268922187,0.290916092,0.220679108,0.225310566,,,,,,,,,,,,,,0.268922187,0.290916092,0.220679108,0.225310566,,,,,,,,,,,,,
5/27/2021,http://www.zacks.com/stock/news/1614447/why-is-ge-ge-up-15-since-last-earnings-report?cid=CS-ZC-FT-realtime_blog-1614447,-0.262170936,-0.995633125,0.263326824,3,0.277145247,0.277145247,0.246062203,0.266773023,,,,,,,,,,,,,,,,0.246062203,0.266773023,,,,,,,,,,,,,,,
5/27/2021,http://www.zacks.com/stock/news/1613801/general-electric-ge-partners-shell-launches-inspection-solution?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1613801,3.351793938,0.995487392,3.366987835,1,3.366987835,3.366987835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2021,http://www.zacks.com/stock/news/1613809/delta-air-dal-appoints-dan-janki-as-its-new-evp-cfo?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1613809,0.246551769,0.998747587,0.246860941,1,0.246860941,0.246860941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2021,http://www.zacks.com/research-daily/1619860/top-research-reports-for-facebook-visa-walt-disney?cid=CS-ZC-FT-research_daily-1619860,2.20156946,0.997431815,2.207238057,1,2.207238057,2.207238057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2021,https://www.benzinga.com/markets/options/21/05/21339575/analyzing-general-electrics-unusual-options-activity,-0.221245605,-0.992355347,0.222949981,1,0.222949981,0.222949981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2021,http://www.zacks.com/stock/news/1620171/general-electric-ge-receives-multiple-contracts-shares-rise?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1620171,-0.794875024,-0.924339771,0.853116539,2,0.289885192,0.289885192,1.416347887,,,,,,,,,,,,,,,,,1.416347887,,,,,,,,,,,,,,,,
5/28/2021,http://www.zacks.com/stock/news/1618874/general-electric-ge-soars-71-is-further-upside-left-in-the-stock?cid=CS-ZC-FT-tale_of_the_tape|daily_price_change_5%-1618874,0.264095572,0.929111004,0.284245446,1,0.284245446,0.284245446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2021,https://www.fool.com/investing/2021/05/29/3-great-stocks-you-can-buy-on-sale/?source=iedfolrf0000001,0.361333054,-0.332670927,0.637730352,3,0.204743307,0.204743307,0.208434575,1.500013174,,,,,,,,,,,,,,,,0.208434575,1.500013174,,,,,,,,,,,,,,,
5/30/2021,https://www.fool.com/investing/2021/05/30/could-nano-x-be-a-millionaire-maker-stock/?source=iedfolrf0000001,1.529842559,0.998313189,1.532427475,1,1.532427475,1.532427475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,http://www.zacks.com/stock/news/1633771/why-general-electric-ge-is-a-top-stock-for-the-long-term?cid=CS-ZC-FT-tale_of_the_tape|zacks_education_focus_list-1633771,0.616628331,0.982760578,0.621807062,2,0.20657142,0.20657142,1.037042705,,,,,,,,,,,,,,,,,1.037042705,,,,,,,,,,,,,,,,
5/31/2021,https://www.investing.com/analysis/6-stock-market-predictions-for-the-week-of-june-1-200583419,-0.200772933,-0.999389887,0.200895502,1,0.200895502,0.200895502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,http://www.zacks.com/stock/news/1634265/hc2-holdings-hchc-unit-buys-banker-steel-enters-credit-agreement?cid=CS-ZC-FT-analyst_blog|company_news_-_corporate_actions-1634265,0.172351368,0.87626493,0.196688652,1,0.196688652,0.196688652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,https://www.investing.com/analysis/what-the-att-dividend-cut-really-means-and-3-huge-dividends-to-buy-instead-200583323,-0.208943408,-0.997655272,0.209434475,1,0.209434475,0.209434475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2021,http://www.zacks.com/stock/news/1638180/the-zacks-analyst-blog-highlights-facebook-visa-disney-exxon-mobil-and-general-electric?cid=CS-ZC-FT-press_releases-1638180,-0.462633605,-0.809201062,0.571716507,1,0.571716507,0.571716507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2021,https://www.fool.com/investing/2021/06/03/2-billion-reasons-why-general-electric-can-outperf/?source=iedfolrf0000001,-0.202239745,-0.237343609,0.386140615,5,0.257333443,0.257333443,0.269163437,0.891877162,0.28701809,0.225310942,,,,,,,,,,,,,,0.269163437,0.891877162,0.28701809,0.225310942,,,,,,,,,,,,,
6/4/2021,https://www.benzinga.com/markets/18/06/11822060/this-day-in-market-history-kidder-peabody-co-pays-25m-insider-,-0.276830792,-0.998879254,0.277141397,1,0.277141397,0.277141397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2021,https://www.investing.com/analysis/3-oil-services-stocks-to-buy-now-200584402,0.265978539,0.989965141,0.268674651,1,0.268674651,0.268674651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
